"variable","estimate"
"CT","0.29 (0.20-0.41) ***"
"MG","0.05 (0.04-0.08) ***"
"NG","4.11 (2.93-5.76) ***"
"None","0.10 (0.07-0.15) ***"
"TV","0.02 (0.01-0.03) ***"
"CT:year","1.02 (0.98-1.05) "
"MG:year","0.93 (0.86-1.01) "
"NG:year","1.01 (0.99-1.03) "
"None:year","0.91 (0.84-0.99) *"
"TV:year","0.95 (0.92-0.98) ***"
"CT:Q1 No/unsure","0.62 (0.23-1.66) "
"MG:Q1 No/unsure","0.54 (0.02-14.34) "
"NG:Q1 No/unsure","0.64 (0.34-1.24) "
"None:Q1 No/unsure","35.23 (0.03-37420.57) "
"TV:Q1 No/unsure","1.41 (0.34-5.82) "
"CT:Q2 No/unsure","1.27 (0.33-4.94) "
"MG:Q2 No/unsure","NA (NA-NA) "
"NG:Q2 No/unsure","0.55 (0.21-1.45) "
"None:Q2 No/unsure","0.74 (0.02-27.82) "
"TV:Q2 No/unsure","0.65 (0.06-7.06) "
"CT:Q3 No/unsure","0.88 (0.45-1.72) "
"MG:Q3 No/unsure","2.78 (0.51-15.01) "
"NG:Q3 No/unsure","0.64 (0.39-1.05) "
"None:Q3 No/unsure","5.67 (0.07-440.45) "
"TV:Q3 No/unsure","0.75 (0.34-1.67) "
"CT:Q4 No/unsure","1.72 (0.71-4.17) "
"MG:Q4 No/unsure","0.27 (0.03-2.69) "
"NG:Q4 No/unsure","0.93 (0.52-1.64) "
"None:Q4 No/unsure","2.90 (0.08-108.29) "
"TV:Q4 No/unsure","0.86 (0.31-2.39) "
"CT:Q5 No/unsure","0.80 (0.41-1.58) "
"MG:Q5 No/unsure","0.21 (0.03-1.44) "
"NG:Q5 No/unsure","0.85 (0.52-1.41) "
"None:Q5 No/unsure","0.07 (0.00-5.56) "
"TV:Q5 No/unsure","2.65 (1.10-6.38) *"
"CT:Q6 No/unsure","1.11 (0.46-2.66) "
"MG:Q6 No/unsure","15.41 (0.95-248.72) "
"NG:Q6 No/unsure","1.58 (0.88-2.82) "
"None:Q6 No/unsure","0.82 (0.09-7.67) "
"TV:Q6 No/unsure","0.32 (0.12-0.86) *"
"CT:Q7 No/unsure","2.12 (0.64-7.05) "
"MG:Q7 No/unsure","0.49 (0.05-5.08) "
"NG:Q7 No/unsure","2.21 (1.02-4.81) *"
"None:Q7 No/unsure","0.04 (0.00-5.34) "
"TV:Q7 No/unsure","5.17 (2.05-13.05) ***"
"CT:Q8 No/unsure","0.99 (0.48-2.01) "
"MG:Q8 No/unsure","NA (NA-NA) "
"NG:Q8 No/unsure","1.49 (0.92-2.43) "
"None:Q8 No/unsure","NA (NA-NA) "
"TV:Q8 No/unsure","1.45 (0.53-3.92) "
"CT:Q9 No/unsure","1.17 (0.48-2.84) "
"MG:Q9 No/unsure","NA (NA-NA) "
"NG:Q9 No/unsure","1.21 (0.65-2.24) "
"None:Q9 No/unsure","0.29 (0.00-21.77) "
"TV:Q9 No/unsure","1.86 (0.68-5.06) "
"CT:Q10 No/unsure","0.54 (0.24-1.22) "
"MG:Q10 No/unsure","NA (NA-NA) "
"NG:Q10 No/unsure","0.76 (0.43-1.36) "
"None:Q10 No/unsure","1.30 (0.06-27.94) "
"TV:Q10 No/unsure","1.53 (0.59-3.93) "
